cmn_code,country_sub_continent_code,,
UA,151,update cmn_region set sub_continent_id=151 where id='UA';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA',"
AE,145,update cmn_region set sub_continent_id=145 where id='AE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE',"
GB,154,update cmn_region set sub_continent_id=154 where id='GB';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB',"
US,21,update cmn_region set sub_continent_id=21 where id='US';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US',"
UY,5,update cmn_region set sub_continent_id=5 where id='UY';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY',"
UZ,143,update cmn_region set sub_continent_id=143 where id='UZ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY','UZ',"
VE,5,update cmn_region set sub_continent_id=5 where id='VE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY','UZ','VE',"
VN,35,update cmn_region set sub_continent_id=35 where id='VN';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY','UZ','VE','VN',"
YE,145,update cmn_region set sub_continent_id=145 where id='YE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY','UZ','VE','VN','YE',"
ZM,14,update cmn_region set sub_continent_id=14 where id='ZM';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY','UZ','VE','VN','YE','ZM',"
ZW,14,update cmn_region set sub_continent_id=14 where id='ZW';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY','UZ','VE','VN','YE','ZM','ZW',"
,,,
,,,
,,,
,,,
,,,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG','LA','LV','LB','LS','LR','LY','LT','LU','MK','MG','MW','MY','ML','MT','MR','MU','MX','MD','MN','ME','MA','MZ','MM','NA','NP','NL','NZ','NI','NE','NG','NO','OM','PK','PA','PG','PY','PE','PH','PL','PT','QA','RO','RU','RW','SA','SN','RS','SL','SG','SK','SI','ZA','ES','LK','SD','SR','SZ','SE','CH','SY','TJ','TZ','TH','TL','TG','TT','TN','TR','TM','UG','UA','AE','GB','US','UY','UZ','VE','VN','YE','ZM','ZW',"
