cmn_code,country_sub_continent_code,,
IT,39,update cmn_region set sub_continent_id=39 where id='IT';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT',"
JM,29,update cmn_region set sub_continent_id=29 where id='JM';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM',"
JP,30,update cmn_region set sub_continent_id=30 where id='JP';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP',"
JO,145,update cmn_region set sub_continent_id=145 where id='JO';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO',"
KZ,143,update cmn_region set sub_continent_id=143 where id='KZ';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ',"
KE,14,update cmn_region set sub_continent_id=14 where id='KE';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE',"
KR,30,update cmn_region set sub_continent_id=30 where id='KR';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR',"
XK,151,update cmn_region set sub_continent_id=151 where id='XK';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK',"
KW,145,update cmn_region set sub_continent_id=145 where id='KW';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW',"
KG,143,update cmn_region set sub_continent_id=143 where id='KG';,"('AF','AL','DZ','AO','AR','AM','AU','AT','AZ','BH','BD','BY','BE','BJ','BT','BO','BA','BW','BR','BG','BF','BI','KH','CM','CA','CV','CF','TD','CL','CN','CO','KM','CG','CD','CR','CI','HR','CY','CZ','DK','DJ','DO','EC','EG','SV','GQ','EE','ET','FI','FR','GA','GM','GE','DE','GH','GR','GT','GN','GW','GY','HT','HN','HK','HU','IS','IN','ID','IR','IQ','IE','IL','IT','JM','JP','JO','KZ','KE','KR','XK','KW','KG',"
